name,free_returns,items_sold,price,status,shipping
Dog Bone Basic Sweatshirt Shirt Sweater Pet Coat Basic XS to XL for SMALL Dog or,False,,499,Brand New,0
Adjustable LED Pet Dog Waterproof Nylon Collars Night Safety Light Up Outdoor,True,,318,Brand New,
Warm Padded Jacket Dog Down Coat Pet Winter Apparel Fur Hooded Puppy Cat Clothes,True,0,1062,Brand New,0
Pet Dog Clothes For Small Dog Cat Clothing Sweater Coat Dog Jacket For Chihuahua,False,,247,Brand New,69
4pcs/set Waterproof Winter Warm Pet Dog Shoes Anti-slip Rain Snow Boots Puppy,False,48,399,Brand New,0
200 23x24 Puppy Training Underpads Dog Pee Training Wee Wee Pads Medical Grade,False,2790,2850,Brand New,
Dog Hoodie Warm Winter Coat Sweater Clothes Pets Puppy Cat Jacket Costume Jumper,False,,399,Brand New,0
"Dog Coats,Reversible Plaid Vest,Winter Warm Clothes,Pet Fleece Windproof Jacket",True,,1299,Brand New,
Red Dog Socket AS-SEEN-ON-TV w/ Bonus Drill Adapter Use with Most Socket,True,308,1999,Brand New,0
US Adjustable Anti-Biting Pet Dog Soft PU Leather Muzzles Mouth Mesh Cover Masks,False,,699,Brand New,
Country Brook Design® Martingale Heavyduty Nylon Dog Collar,False,59,1297,Brand New,
Black Dog DVD Patrick Swayze NEW,False,1827,600,Brand New · DVD,0
"Seresto Flea and Tick Collar for Large Dogs, 8-Month Protection Over 18 Pounds",False,246,1899,Brand New,
"Personalized Pet Name ID Tags for Dog, Custom Double Sided Cool BONE Shape LOOK!",False,,549,Brand New,0
Chihuahua Puppy Sweater Coat Clothes For Small Pet Dog Warm Clothing Apparel USA,True,156,863,Brand New,
TOP PETS BUNDLES $20 AND UNDER - LEGENDARY NEON MEGA - FR NFR ADOPT MFR ME EGGS,False,0,299,Brand New,
"3pc Dog/Pet Pooper Scooper with Long Handle, Metal Pet Poop Tray and Rake Set ",False,,1999,Brand New,99
Pet Vest Jacket Warm Puppy Dog Waterproof Clothes Small/Large Winter Padded Coat,False,13,751,Brand New,0
100 30x36 Medical Ultra Heavy Absorbency Dog Puppy Training Pee Pads Underpads,False,10000,4699,Brand New,
"Foldable Pet Dog Grooming Arm with Clamp, Dog Grooming Loop Noose",False,,2999,Brand New,
PEDIGREE ✨CHOPPED GROUND DINNER Adult Soft Wet Meaty Dog Food Variety PACK of 30,False,324,2499,Brand New,0
Pet Dog Vest Jacket Warm Waterproof Clothes Winter Padded Coat Small/Large Warm,False,,920,Brand New,0
Wireless Dog Fence Pet Containment System Waterproof Training Collars 1/2/3 Dogs,True,134,3299,Brand New,0
Elevated Dog Bed Lounger Sleep Pet Cat Raised Cot Hammock for Indoor Outdoor,False,,2699,Brand New,0
10pack Compatible RFA-67 6V Pet Dog Collar Replacement Battery For PetSafe,True,,1299,Brand New,0
Warm Fleece Dog Vest Sweater Coat Clothes Winter Apparel Jacket Small Medium Pet,True,,999,Brand New,0
Pet Dog Christmas Cosplay Costumes Outfit Santa Riding Harness Holiday Clothes,False,,1180,Brand New,0
Dog Shock Collar With Remote Waterproof Electric for Large 328 Yard Pet Training,True,,1959,Brand New,0
